Host species,Authority,Functional group,Life History,Seed source
No host,-,-,-,-
Agrostis capillaris,L.,Grass,Perennial,Emorsgate
Allium ursinum,L.,Forb,Perennial,RBGE
Anthriscus sylvestris,(L.) Hoffm.,Forb,Perennial,Emorsgate
Arabidopsis thaliana,(L.) Heynh.,Forb,Annual,Inbred lines University of Edinburgh
Centaurea nigra,L.,Forb,Perennial,Emorsgate
Centranthus ruber,(L.) DC.,Forb,Perennial,Chiltern Seeds
Chenopodium album,L.,Forb,Annual,Author collections
Chenopodium bonus-henricus,L.,Forb,Perennial,Surplus seed RBGE 
Cynosurus cristatus,L.,Grass,Perennial,Emorsgate
Cystopteris dickeniana,R. Sim,Fern,Perennial,RBGE
Dactylorhiza purpurella,(T.Stephenson & T.A.Stephenson) Soó,Forb,Perennial,RBGE
Equisetum arvense,L.,Fern,Perennial,RBGE
Erica tetralix,L.,Woody,Perennial,RBGE
Festuca rubra,L.,Grass,Perennial,Emorsgate
Fragaria vesca,L.,Forb,Perennial,Scotia seeds
Galanthus nivalis,L.,Forb,Perennial,RBGE
Galium aparine,L.,Forb,Annual,"Author collection, Upper Halliford, Surrey, Engalnd, 11/16"
Galium verum,L.,Forb,Perennial,Emorsgate 
Helianthemum nummularium,(L.) Mill.,Forb,Perennial,Scotia seeds
Holcus lanatus,L.,Grass,Perennial,Emorsgate
Hordeum vulgare,L.,Grass,Annual,Wiggly Wigglers
Hyacinthoides non-scripta,(L.) Chouard ex Rothm.,Forb,Perennial,RBGE
Lagurus ovatus,L.,Grass,Annual,www.wildflowershop.co.uk
Lathyrus japonicus,Willd.,Legume,Perennial,RBGE
Leucanthemum vulgare,(Vaill.) Lam.,Forb,Perennial,Emorsgate
Lotus corniculatus,L.,Legume,Perennial,Emorsgate
Meum athamanticum,Jacq.,Forb,,RBGE
Mimulus guttatus,DC.,Forb,Perennial,Author collections
Ononis spinosa,L.,Legume,Perennial,Emorsgate & Wild Flower Shop
Papaver rhoeas,L.,Forb,Annual,Emorsgate
Phleum pratense,L.,Grass,Perennial,Wild Flower Shop
Pinus sylvestris,L.,Woody,Perennial,Scotia seeds
Plantago lanceolata,L.,Forb,Perennial,Emorsgate
Pteridium aquilinum,L. (Kuhn),Fern,Perennial,British Pteridological Society spore exchange
Rumex acetosella,L.,Forb,Perennial,Scotia seeds 
Senecio vulgaris,L.,Forb,Annual,RBGE
Silene dioica,(L.) Clairv.,Forb,Perennial,"D. Charlseworth, Univ. Edinburgh"
Silene latifolia,Poir.,Forb,Perennial,"D. Charlseworth, Univ. Edinburgh"
Thymus polytrichus,A.Kern. ex Borbás,Woody,Perennial,Emorsgate
Sorbus aucuparia,L.,Woody,Perennial,RBGE
Tragopogon pratensis,L.,Forb,Perennial,Scotia seeds
Trifolium pratense,L.,Legume,Perennial,Chiltern Seeds & Wild Flower Shop
Ulex europaeus ,L.,Legume/Woody,Perennial,Tree Seed Online Ltd
Vicia cracca,L.,Legume,Perennial,Emorsgate
Zea mays,L.,Grass,Annual,Chiltern Seeds
